Index,Name,Age,Gender,Nationality,Years Active,Genre Specialization,Beauty,Skill Level,Education Level,Award Wins,Media Mentions,Social Media Followers,Social Media Likes,Network Size,Income
1,Anthony Vaughn,19,Female,USA,1,Comedy,9.56,8.24,University,7,52,15678,4914,22,434056.09
2,Justin Osborn,48,Male,USA,19,Drama,7.88,9.61,College,10,37,18420,5378,30,1188216.47
3,Sandra Kim,49,Male,USA,23,Sci-Fi,7.43,9.76,College,12,46,17382,5033,23,1730313.22
4,Mark Hahn,41,Female,USA,15,Sci-Fi,8.08,15.55,Graduate,9,42,16742,5005,25,818967.94
5,Julie Brown,38,Male,USA,19,Action,6.04,9.74,University,11,38,13428,4662,22,974068.97
6,Jonathan Robinson,31,Female,USA,13,Action,6.26,10.45,Graduate,9,45,19001,5572,27,1112517.18
7,William Flynn,46,Male,USA,9,Sci-Fi,6.35,7.38,College,7,37,15585,5488,27,475294.21
8,Jamie Smith,23,Female,Canada,5,Drama,4.93,8.46,College,6,34,14159,4998,23,229526.53
9,Michael Reyes,20,Female,USA,2,Action,7.99,8.24,Graduate,6,39,16617,5715,28,486564.72
10,Ann Webb,42,Male,USA,13,Sci-Fi,8.25,2.7,College,8,26,16297,5207,24,757637.41
11,Megan Wilson,25,Female,Canada,7,Action,5.32,4.66,Graduate,5,48,17038,5205,26,498028.17
12,Chad Murphy,28,Female,USA,10,Drama,11.45,10.92,College,10,44,17324,4883,25,912692.75
13,Brian Kemp,37,Female,USA,16,Drama,8.57,6.27,University,9,39,14220,4877,27,841281.56
14,Sara Walter,49,Female,USA,15,Comedy,8.3,6.16,University,7,27,15655,5278,24,555912.45
15,Anthony Ortiz,30,Male,USA,11,Sci-Fi,9.81,5.31,University,9,58,19410,5420,31,867600.52
16,Mr. Christopher Everett DDS,43,Male,USA,13,Horror,7.23,14.03,University,8,26,14970,4934,28,369551.48
17,Steven Briggs,39,Male,USA,14,Drama,7.82,2.16,College,7,45,17035,5116,20,694731.27
18,Kimberly Vance,22,Female,USA,4,Drama,8.67,11.18,College,6,39,16147,5279,24,461152.05
19,Charles Montoya DDS,48,Female,USA,9,Drama,10.15,8.27,High School,11,44,15299,5146,27,1108436.19
20,Katherine Ellis,37,Male,USA,13,Action,8.32,14.93,Graduate,10,47,17523,5379,30,801309.15
21,Paul Dominguez,33,Male,USA,12,Drama,8.4,10.23,Graduate,6,31,15924,4992,18,394370.56
22,Michael Alexander,36,Male,USA,13,Sci-Fi,6.86,8.0,High School,10,49,16273,4859,20,817465.34
23,Diane Smith,34,Female,Canada,15,Comedy,6.07,9.6,College,8,49,17248,5353,28,512858.65
24,Dustin Wiggins,26,Male,Canada,8,Drama,7.52,6.79,High School,6,38,15545,5419,22,495943.99
25,Patricia Mccarthy,32,Female,USA,14,Sci-Fi,9.75,8.5,University,8,37,17592,5039,22,1177168.26
26,Jeffrey Ortega,43,Male,Canada,13,Action,4.0,5.62,High School,7,24,13999,4736,19,435117.66
27,Matthew Holland,51,Male,USA,16,Action,5.23,9.53,Graduate,8,33,15811,4985,27,564794.04
28,Allen Wilson,39,Male,USA,15,Sci-Fi,6.32,10.58,College,9,35,15886,4874,22,536058.39
29,Dylan Walker,20,Female,USA,2,Comedy,12.58,14.82,University,7,33,19494,5379,34,760856.37
30,Ronald Smith,42,Male,USA,13,Action,4.79,3.08,College,7,39,15781,5067,28,625017.63
31,Taylor Scott,51,Male,USA,14,Comedy,8.84,7.06,Graduate,8,43,16511,5018,18,756052.31
32,Kenneth Moreno DDS,24,Female,Canada,6,Comedy,7.16,7.59,University,8,52,17319,4964,24,654205.54
33,Helen Cooper,44,Male,USA,11,Action,6.87,12.85,Graduate,7,41,16071,4967,25,602817.98
34,Victoria Johnson,30,Female,USA,12,Comedy,9.85,2.99,University,7,36,15400,5065,30,740311.24
35,Maria Lewis,38,Male,USA,15,Action,6.68,7.47,University,9,35,14835,5211,24,844747.07
36,William Maxwell,59,Male,USA,12,Action,4.62,12.64,University,8,30,14880,5214,26,477754.96
37,Kimberly Davila,41,Male,USA,11,Action,5.72,7.57,High School,6,43,17014,5492,30,441239.41
38,Carol Huynh,69,Male,USA,12,Sci-Fi,5.52,9.12,High School,8,39,15357,5001,24,510857.59
39,Laura Garza,43,Male,USA,15,Action,7.23,5.69,University,8,30,16521,4929,19,758801.05
40,Michael Smith,30,Female,Canada,12,Comedy,6.77,14.44,College,12,37,15638,5302,26,813412.51
41,Alisha Stevens,47,Male,USA,13,Comedy,9.28,6.13,High School,8,31,18308,5132,23,1101733.0
42,Victor Campbell,45,Male,Canada,13,Horror,7.12,10.4,College,8,37,17219,5149,26,599052.32
43,Alexander Parker,51,Male,USA,14,Musical,11.9,11.95,University,9,33,15657,4700,18,649052.09
44,Eugene Harris,29,Male,USA,11,Action,7.4,1.88,Graduate,3,36,17676,5485,31,522804.76
45,Mike Davis,56,Male,USA,14,Sci-Fi,6.95,10.37,Graduate,9,36,14872,5127,16,642148.43
46,David Fuller,31,Female,Canada,13,Drama,6.49,9.58,Graduate,8,34,17647,5709,36,525173.92
47,Autumn Garrett,56,Male,USA,12,Comedy,3.83,9.14,College,8,55,21256,5621,37,881897.24
48,Samantha Lee,31,Male,Canada,13,Drama,5.42,4.38,High School,5,36,15853,4716,23,294038.39
49,Joshua Morris,21,Female,USA,3,Drama,9.8,6.15,University,7,58,19223,5393,30,613699.9
50,Karen Wade,35,Female,USA,11,Action,6.23,9.22,University,7,30,15752,5311,31,638256.5
51,Daniel Murray,39,Female,USA,17,Drama,10.83,16.05,University,13,37,14487,5052,24,1177810.97
52,Brandi Griffin,39,Male,USA,13,Action,5.98,2.5,High School,4,46,17801,5048,25,541968.7
53,Carrie Shaw,48,Male,USA,8,Comedy,5.18,11.92,University,8,33,15231,4818,22,534811.42
54,Aaron Torres,31,Male,USA,13,Comedy,7.86,7.38,High School,8,42,18711,5155,23,949138.56
55,Jose Castro,40,Female,Canada,9,Action,6.01,9.31,Graduate,8,39,17430,5186,28,640484.53
56,Jessica Sloan,47,Male,USA,15,Action,7.6,4.65,College,6,41,15510,4587,23,813986.12
57,Matthew Hardy,35,Male,USA,17,Horror,7.5,15.71,University,11,50,17870,5647,33,777276.04
58,William Murphy,42,Male,USA,15,Sci-Fi,7.82,8.72,University,10,30,14632,4842,25,744945.57
59,Craig Stevens,37,Male,USA,18,Action,8.96,5.62,College,7,43,18455,5444,34,924953.25
60,Christopher Wolf,46,Female,USA,18,Horror,6.94,11.82,College,10,34,16312,5310,28,884983.15
61,Jennifer Fitzpatrick,35,Female,USA,17,Drama,7.29,8.38,University,10,31,14741,5503,25,650982.43
62,Keith Bray,33,Male,USA,9,Drama,7.9,3.57,High School,8,47,17366,4993,31,551814.41
63,Donna Allison,22,Female,USA,4,Musical,9.45,7.93,College,5,37,14953,4946,25,358192.78
64,Jessica Conner,36,Male,USA,13,Comedy,6.21,6.88,University,8,31,14671,4918,16,738233.57
65,Richard Farrell,31,Male,Canada,13,Action,7.63,11.2,Graduate,8,36,17775,5441,26,886354.92
66,Meagan Todd,40,Female,Canada,19,Action,7.62,1.41,High School,9,44,18623,5186,26,1449425.52
67,Brent Beltran,65,Female,USA,15,Drama,8.49,7.41,College,7,36,18558,5603,30,851793.79
68,Sandra Bryant,46,Male,USA,15,Action,4.8,9.83,University,11,43,16479,4877,30,925794.74
69,Tara Jones,33,Male,USA,10,Sci-Fi,6.22,9.27,Graduate,6,33,16139,4969,20,514109.57
70,Troy Stephens,51,Male,USA,17,Action,9.16,9.69,Graduate,7,43,14877,4572,18,889892.05
71,Alicia Dennis,56,Male,USA,20,Action,6.08,11.08,University,10,38,16070,4605,25,1145138.87
72,Andrea Diaz,38,Male,USA,15,Drama,8.58,6.62,High School,7,30,17105,5309,25,730746.07
73,Lisa Copeland,33,Female,USA,15,Comedy,9.69,12.78,College,11,38,16708,5399,26,789938.35
74,Rose Brown,42,Female,USA,17,Action,6.28,7.16,University,8,39,16341,4779,28,885636.91
75,Jordan Hayes,37,Female,USA,18,Action,7.23,10.76,University,12,38,14259,4513,28,1301235.77
76,Pamela Sawyer,56,Female,USA,12,Action,10.57,8.57,Graduate,10,48,17270,4986,29,1203490.29
